MONTH,FIPS,SALES_SUM_MONTH,IS_HOLIDAY_MAX_MONTH,WEB_MIN_MONTH,WEB_MEAN_MONTH,WEB_MAX_MONTH,EMAIL_MIN_MONTH,EMAIL_MEAN_MONTH,EMAIL_MAX_MONTH,TV_MIN_MONTH,TV_MEAN_MONTH,TV_MAX_MONTH,RADIO_MIN_MONTH,RADIO_MEAN_MONTH,RADIO_MAX_MONTH,PRINT_MIN_MONTH,PRINT_MEAN_MONTH,PRINT_MAX_MONTH,MSRP_MEAN_MONTH,AVG_PRICE_MEAN_MONTH,INVENTORY_SUM_MONTH,INVENTORY_MIN_MONTH,INVENTORY_MEAN_MONTH,INVENTORY_MAX_MONTH,OUT_OF_STOCK_MAX_MONTH,BASKETBALL_MIN_MONTH,BASKETBALL_MEAN_MONTH,BASKETBALL_MAX_MONTH,FOOTBALL_MIN_MONTH,FOOTBALL_MEAN_MONTH,FOOTBALL_MAX_MONTH,BASEBALL_MIN_MONTH,BASEBALL_MEAN_MONTH,BASEBALL_MAX_MONTH,HOCKEY_MIN_MONTH,HOCKEY_MEAN_MONTH,HOCKEY_MAX_MONTH
2019-01-01,1073,5462,1,-24,-14.0,-5,-13,5.2,17,-24,3.4,21,-22,-5.2,4,-18,9.4,24,110,97.42857142857143,7331,860,1466.2,2137,1,32,38.4,43,29,40.6,50,18,20.2,22,25,28.8,34
2019-02-01,1073,3210,0,3,24.0,45,9,34.0,45,0,0.0,0,0,0.0,0,0,0.0,0,115,112.125,5219,882,1304.75,1708,0,46,48.75,50,13,21.0,33,21,24.0,27,73,79.0,84
2019-03-01,1073,3382,0,9,22.25,35,2,21.75,45,0,0.0,0,0,0.0,0,0,0.0,0,115,113.5625,6571,832,1642.75,2422,1,49,55.0,61,9,12.5,18,29,41.0,49,79,85.75,91
2019-04-01,1073,4347,0,6,24.6,43,3,19.6,31,0,26.8,46,0,6.8,15,0,9.0,34,115,115.0,8632,1327,1726.4,2243,0,52,74.6,100,9,9.4,10,53,61.8,72,67,80.2,100
2019-05-01,1073,3577,0,2,24.5,48,1,23.75,41,0,4.0,16,0,4.75,19,0,8.5,34,115,113.5625,6012,1004,1503.0,2037,0,13,20.5,41,10,10.25,11,65,66.5,70,65,72.5,77
2019-06-01,1073,3417,1,27,33.0,43,14,28.75,38,0,0.0,0,0,0.0,0,0,0.0,0,115,115.0,5011,815,1252.75,1722,1,12,13.0,14,9,9.5,10,68,78.5,90,45,52.5,61
2019-07-01,1073,4319,1,16,36.4,45,1,25.8,46,0,5.0,25,0,8.0,40,0,7.4,37,115,115.0,9039,1419,1807.8,2353,1,10,11.8,13,10,10.2,11,47,72.4,100,30,43.2,63
2019-08-01,1073,3621,0,4,25.0,40,1,9.75,30,0,16.0,29,0,27.25,46,0,13.25,36,115,115.0,6309,1062,1577.25,2117,0,9,9.75,10,12,15.75,20,43,43.5,44,29,29.75,30
2019-09-01,1073,4017,0,-14,1.0,16,-13,0.5,21,-25,-19.75,-11,-18,-9.75,-2,-20,1.25,15,115,103.5,7168,1303,1792.0,2262,0,9,9.75,10,25,44.75,83,33,36.25,39,30,34.25,39
2019-10-01,1073,4400,1,0,17.8,38,2,25.2,47,0,0.0,0,0,0.0,0,0,0.0,0,115,115.0,6372,819,1274.4,1833,0,10,10.8,12,78,88.4,100,29,31.4,35,42,53.2,68
2019-11-01,1073,3372,0,5,31.25,48,7,17.25,24,0,6.25,25,0,7.75,31,0,0.0,0,115,115.0,7937,1549,1984.25,2393,1,12,15.0,19,69,74.5,77,35,38.0,42,73,74.0,75
2019-12-01,1073,4277,1,-24,5.0,17,-6,8.0,25,-5,9.25,22,-9,8.25,24,1,10.75,22,115,103.5,6820,1242,1705.0,2363,0,37,39.25,43,68,74.5,78,17,20.25,22,77,79.5,83
2020-01-01,1073,5677,1,-24,-2.2,18,-22,-7.8,12,-22,-1.6,22,-11,6.8,17,-23,-7.8,10,115,101.2,9587,1213,1917.4,2376,0,31,37.4,42,34,48.4,61,16,18.2,20,68,74.0,82
2020-02-01,1073,3276,0,6,23.75,38,1,15.25,38,0,6.0,24,0,1.25,5,0,11.25,45,120,118.5,7292,1407,1823.0,2250,0,75,80.25,91,23,40.75,61,41,49.25,53,77,81.25,84
2020-03-01,1073,3478,0,4,24.75,48,9,25.75,44,0,17.25,44,0,11.75,39,0,20.0,49,120,118.5,6826,1260,1706.5,2139,0,81,86.25,92,16,21.25,31,59,82.0,98,79,91.0,99
2020-04-01,1073,4404,0,0,19.4,46,8,31.4,49,0,0.0,0,0,3.8,19,0,5.6,28,120,120.0,6797,946,1359.4,1892,0,17,45.8,100,11,12.8,15,35,58.2,100,23,48.8,100
2020-05-01,1073,3619,0,0,27.5,42,3,29.75,46,0,2.0,8,0,8.5,34,0,4.0,16,120,118.5,7809,1492,1952.25,2391,0,16,16.25,17,13,14.5,17,36,36.5,37,23,24.25,26
2020-06-01,1073,4425,1,20,29.6,38,0,19.2,38,0,3.4,17,0,1.0,5,0,0.2,1,120,120.0,7698,1141,1539.6,2059,0,12,13.8,15,13,13.6,14,41,41.6,43,21,23.2,25
2020-07-01,1073,3554,1,4,27.25,38,13,29.25,45,0,5.5,12,0,26.75,47,0,13.75,27,120,120.0,5338,887,1334.5,1858,0,12,12.75,13,14,14.5,15,51,53.75,56,22,24.5,27
2020-08-01,1073,3590,0,2,22.75,47,7,25.25,46,0,7.75,26,0,10.5,27,0,12.75,26,120,120.0,7776,1484,1944.0,2387,1,13,13.0,13,16,18.25,20,54,69.5,86,25,32.0,41
2020-09-01,1073,5092,0,-10,2.0,20,-11,8.8,23,-16,-7.4,13,-23,7.0,25,-15,-5.8,7,120,108.0,9068,1218,1813.6,2454,0,13,14.0,15,21,30.0,44,56,58.8,64,42,47.4,54
2020-10-01,1073,3539,1,2,27.25,44,29,33.0,36,0,0.0,0,0,0.0,0,0,0.0,0,120,120.0,6276,1100,1569.0,2001,0,13,14.0,15,73,78.25,83,52,54.25,57,41,42.25,43
2020-11-01,1073,3486,0,15,31.0,49,2,26.75,45,0,9.5,32,0,15.0,32,0,12.25,39,120,120.0,5424,908,1356.0,1777,0,13,13.5,14,85,87.75,91,53,57.5,62,34,36.5,40
2020-12-01,1073,5221,1,-15,2.4,25,-8,8.4,22,-4,8.6,16,-19,-8.2,7,-3,8.4,18,120,104.91428571428571,8935,1180,1787.0,2348,0,11,30.0,55,73,83.0,100,28,31.0,33,28,36.2,39
2018-01-01,4013,65,1,-2,-2.0,-2,3,3.0,3,9,9.0,9,-17,-17.0,-17,-24,-24.0,-24,105,90.0,175,175,175.0,175,0,45,45.0,45,51,51.0,51,20,20.0,20,97,97.0,97
2018-02-01,4013,318,0,11,21.5,34,24,38.75,46,0,13.0,39,0,18.75,41,0,26.75,47,110,108.625,1095,173,273.75,337,0,46,47.0,48,13,19.25,31,23,26.75,31,29,30.0,31
2018-03-01,4013,335,0,1,27.25,48,10,18.25,36,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,989,168,247.25,326,0,47,52.75,60,9,11.25,17,32,44.75,55,33,61.25,100
2018-04-01,4013,345,0,9,21.75,34,11,28.25,47,0,10.5,32,0,4.0,14,0,21.5,48,110,110.0,826,139,206.5,309,0,49,75.25,100,8,8.75,9,56,62.75,77,25,30.5,35
2018-05-01,4013,442,0,2,19.2,45,2,27.4,46,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,1284,179,256.8,351,0,13,18.2,37,9,9.8,11,71,73.8,78,21,27.4,37
2018-06-01,4013,347,1,5,35.25,49,13,23.25,33,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,1029,149,257.25,328,0,12,13.25,15,9,9.0,9,75,81.75,89,19,20.25,22
2018-07-01,4013,354,0,8,19.75,36,6,24.5,38,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,848,134,212.0,288,0,10,11.75,14,10,11.0,12,69,84.5,100,12,15.0,24
2018-08-01,4013,432,1,8,25.8,49,7,22.2,45,0,20.2,35,0,11.2,28,0,10.4,30,110,108.9,1172,122,234.4,339,0,10,10.6,11,12,15.2,21,46,47.6,49,10,11.2,12
2018-09-01,4013,404,0,-25,2.25,17,-25,-8.25,11,-20,2.0,18,-16,10.5,23,-18,-9.75,14,110,99.0,971,153,242.75,334,0,9,9.5,10,25,44.5,80,36,39.75,41,12,12.75,14
2018-10-01,4013,435,1,4,25.2,49,11,28.4,49,0,9.6,44,0,6.6,27,0,4.0,17,110,110.0,1097,141,219.4,315,0,9,10.0,11,81,86.6,100,32,35.8,45,15,19.0,24
2018-11-01,4013,336,0,9,23.25,40,4,15.0,40,0,0.0,0,0,0.0,0,0,0.0,0,110,108.625,928,128,232.0,297,0,12,16.0,20,72,75.0,78,30,37.25,41,26,27.25,29
2018-12-01,4013,408,2,-23,1.0,17,-11,3.0,23,-25,-2.0,22,-24,-12.0,8,-19,-7.5,-1,110,95.46428571428571,827,126,206.75,312,0,37,41.25,46,60,70.0,82,19,20.25,21,27,28.0,29
2019-01-01,4013,551,1,-20,-2.4,20,-16,2.0,23,-10,12.4,25,-23,-2.2,24,-22,-4.0,20,110,97.42857142857143,1498,231,299.6,362,1,32,38.4,43,29,40.6,50,18,20.2,22,25,28.8,34
2019-02-01,4013,324,0,17,35.0,49,3,17.25,43,0,2.0,8,0,2.25,9,0,8.5,34,115,115.0,883,138,220.75,301,0,46,48.75,50,13,21.0,33,21,24.0,27,73,79.0,84
2019-03-01,4013,337,0,5,26.5,48,4,21.25,38,0,6.5,20,0,17.0,31,0,19.75,38,115,115.0,777,130,194.25,297,0,49,55.0,61,9,12.5,18,29,41.0,49,79,85.75,91
2019-04-01,4013,435,0,5,24.8,46,2,31.4,49,0,5.0,25,0,1.8,9,0,3.4,17,115,115.0,1285,183,257.0,353,0,52,74.6,100,9,9.4,10,53,61.8,72,67,80.2,100
2019-05-01,4013,359,0,6,20.5,47,3,18.75,37,0,11.0,44,0,1.75,7,0,4.0,16,115,113.5625,1043,154,260.75,334,0,13,20.5,41,10,10.25,11,65,66.5,70,65,72.5,77
2019-06-01,4013,348,1,12,22.25,39,16,20.0,27,0,1.0,4,0,4.75,19,0,11.5,46,115,115.0,846,131,211.5,286,0,12,13.0,14,9,9.5,10,68,78.5,90,45,52.5,61
2019-07-01,4013,435,1,1,18.2,48,13,32.2,47,0,0.0,0,0,0.0,0,0,0.0,0,115,115.0,1420,182,284.0,363,0,10,11.8,13,10,10.2,11,47,72.4,100,30,43.2,63
2019-08-01,4013,358,0,16,27.0,39,16,23.25,32,0,13.25,32,0,13.0,47,0,14.25,32,115,115.0,885,150,221.25,326,0,9,9.75,10,12,15.75,20,43,43.5,44,29,29.75,30
2019-09-01,4013,401,0,-16,-7.5,14,-14,-2.75,6,-9,5.0,23,-21,-8.0,7,-21,-7.75,2,115,103.5,1058,190,264.5,336,0,9,9.75,10,25,44.75,83,33,36.25,39,30,34.25,39
2019-10-01,4013,440,1,6,29.0,45,9,13.0,18,0,5.4,27,0,5.4,27,0,4.8,24,115,113.85,1108,132,221.6,310,0,10,10.8,12,78,88.4,100,29,31.4,35,42,53.2,68
2019-11-01,4013,342,0,0,7.75,20,11,34.0,49,0,0.0,0,0,0.0,0,0,0.0,0,115,113.5625,1029,193,257.25,360,0,12,15.0,19,69,74.5,77,35,38.0,42,73,74.0,75
2019-12-01,4013,429,1,-18,-7.5,11,-17,5.75,22,-17,-2.75,4,-20,-9.5,5,-8,7.75,24,115,103.5,1158,223,289.5,355,0,37,39.25,43,68,74.5,78,17,20.25,22,77,79.5,83
2020-01-01,4013,556,1,-8,7.8,24,-15,-3.6,18,-13,4.4,19,-14,-8.4,-4,-24,-11.0,21,115,101.2,1182,126,236.4,365,1,31,37.4,42,34,48.4,61,16,18.2,20,68,74.0,82
2020-02-01,4013,328,0,0,26.0,48,0,26.5,47,0,0.0,0,0,0.0,0,0,0.0,0,120,118.5,1164,188,291.0,356,0,75,80.25,91,23,40.75,61,41,49.25,53,77,81.25,84
2020-03-01,4013,345,0,2,20.25,37,6,17.25,42,0,10.0,40,0,2.0,8,0,1.25,5,120,120.0,1052,182,263.0,343,0,81,86.25,92,16,21.25,31,59,82.0,98,79,91.0,99
2020-04-01,4013,440,0,2,13.2,20,24,35.4,49,0,0.0,0,0,0.0,0,0,0.0,0,120,120.0,1192,149,238.4,326,0,17,45.8,100,11,12.8,15,35,58.2,100,23,48.8,100
2020-05-01,4013,363,0,8,29.25,45,2,12.0,32,0,0.0,0,0,0.0,0,0,0.0,0,120,120.0,829,129,207.25,284,0,16,16.25,17,13,14.5,17,36,36.5,37,23,24.25,26
2020-06-01,4013,442,1,9,24.2,45,7,22.6,47,0,13.8,43,0,6.8,28,0,8.6,32,120,118.8,1360,168,272.0,351,0,12,13.8,15,13,13.6,14,41,41.6,43,21,23.2,25
2020-07-01,4013,354,1,8,28.25,49,26,39.5,49,0,0.0,0,0,0.0,0,0,0.0,0,120,118.5,825,142,206.25,309,0,12,12.75,13,14,14.5,15,51,53.75,56,22,24.5,27
2020-08-01,4013,363,0,6,24.5,42,7,20.25,42,0,0.0,0,0,0.0,0,0,0.0,0,120,120.0,1141,205,285.25,363,0,13,13.0,13,16,18.25,20,54,69.5,86,25,32.0,41
2020-09-01,4013,517,0,-9,9.2,23,3,15.8,25,-21,-3.0,22,-3,10.6,20,-15,1.2,16,120,108.0,1297,171,259.4,354,0,13,14.0,15,21,30.0,44,56,58.8,64,42,47.4,54
2020-10-01,4013,354,1,13,20.75,27,2,17.5,46,0,4.5,17,0,9.75,29,0,5.75,21,120,120.0,873,148,218.25,324,0,13,14.0,15,73,78.25,83,52,54.25,57,41,42.25,43
2020-11-01,4013,348,0,4,12.25,23,2,13.25,25,0,0.0,0,0,0.0,0,0,0.0,0,120,117.0,957,133,239.25,308,0,13,13.5,14,85,87.75,91,53,57.5,62,34,36.5,40
2020-12-01,4013,523,1,-18,3.2,20,-8,2.6,23,-22,4.4,22,-22,-6.6,16,-17,2.0,24,120,104.91428571428571,1362,183,272.4,362,0,11,30.0,55,73,83.0,100,28,31.0,33,28,36.2,39
2018-01-01,4019,408,1,-4,-4.0,-4,12,12.0,12,-2,-2.0,-2,-1,-1.0,-1,15,15.0,15,105,90.0,842,842,842.0,842,0,45,45.0,45,51,51.0,51,20,20.0,20,97,97.0,97
2018-02-01,4019,1974,0,14,27.25,34,8,21.0,39,0,10.25,41,0,3.5,14,0,4.0,16,110,108.625,5892,1086,1473.0,1849,0,46,47.0,48,13,19.25,31,23,26.75,31,29,30.0,31
2018-03-01,4019,2096,0,14,25.25,49,7,27.75,47,0,11.0,44,0,10.25,41,0,7.25,29,110,108.625,5205,834,1301.25,1786,0,47,52.75,60,9,11.25,17,32,44.75,55,33,61.25,100
2018-04-01,4019,2179,0,3,25.25,42,27,38.25,48,0,8.0,24,0,10.75,22,0,15.75,48,110,108.625,4164,679,1041.0,1389,0,49,75.25,100,8,8.75,9,56,62.75,77,25,30.5,35
2018-05-01,4019,2767,0,4,25.8,48,0,17.0,38,0,19.0,40,0,10.6,40,0,17.2,43,110,108.9,7246,994,1449.2,1863,0,13,18.2,37,9,9.8,11,71,73.8,78,21,27.4,37
2018-06-01,4019,2162,1,4,31.0,46,20,26.75,38,0,1.75,7,0,7.0,28,0,5.75,23,110,110.0,4458,743,1114.5,1451,0,12,13.25,15,9,9.0,9,75,81.75,89,19,20.25,22
2018-07-01,4019,2233,0,0,12.5,29,12,20.25,40,0,1.25,5,0,5.5,22,0,3.5,14,110,108.625,5754,1082,1438.5,1781,0,10,11.75,14,10,11.0,12,69,84.5,100,12,15.0,24
2018-08-01,4019,2707,1,11,23.0,41,22,37.6,46,0,8.0,40,0,9.0,45,0,1.4,7,110,110.0,5673,736,1134.6,1583,0,10,10.6,11,12,15.2,21,46,47.6,49,10,11.2,12
2018-09-01,4019,2521,0,-20,-2.75,6,8,11.75,14,-10,4.75,22,4,15.5,24,-5,8.5,24,110,99.0,5433,1032,1358.25,1677,0,9,9.5,10,25,44.5,80,36,39.75,41,12,12.75,14
2018-10-01,4019,2716,1,16,25.2,33,7,26.4,45,0,0.0,0,0,0.0,0,0,0.0,0,110,108.9,5988,676,1197.6,1810,0,9,10.0,11,81,86.6,100,32,35.8,45,15,19.0,24
2018-11-01,4019,2117,0,0,11.5,34,8,30.25,44,0,0.0,0,0,0.0,0,0,0.0,0,110,107.25,5722,1056,1430.5,1797,0,12,16.0,20,72,75.0,78,30,37.25,41,26,27.25,29
2018-12-01,4019,2556,2,-11,-2.75,6,-11,-0.75,17,-20,0.5,20,-18,-4.25,18,-23,-8.0,22,110,95.46428571428571,6064,1160,1516.0,1853,0,37,41.25,46,60,70.0,82,19,20.25,21,27,28.0,29
2019-01-01,4019,3438,1,-12,6.6,25,-19,1.4,21,-15,8.6,24,-24,6.2,24,-17,-0.8,14,110,97.42857142857143,6377,701,1275.4,1723,0,32,38.4,43,29,40.6,50,18,20.2,22,25,28.8,34
2019-02-01,4019,2019,0,7,19.0,38,33,42.0,46,0,5.0,20,0,8.5,34,0,6.25,25,115,115.0,5168,862,1292.0,1854,0,46,48.75,50,13,21.0,33,21,24.0,27,73,79.0,84
2019-03-01,4019,2129,0,4,14.75,26,2,24.0,46,0,13.0,41,0,10.0,36,0,7.75,23,115,115.0,5685,1044,1421.25,1784,0,49,55.0,61,9,12.5,18,29,41.0,49,79,85.75,91
2019-04-01,4019,2726,0,9,30.2,49,6,23.2,46,0,12.4,31,0,10.6,36,0,14.2,28,115,112.7,5690,711,1138.0,1601,0,52,74.6,100,9,9.4,10,53,61.8,72,67,80.2,100
2019-05-01,4019,2231,0,10,26.75,47,2,7.25,16,0,12.75,39,0,22.75,46,0,13.5,40,115,113.5625,5042,659,1260.5,1775,0,13,20.5,41,10,10.25,11,65,66.5,70,65,72.5,77
2019-06-01,4019,2190,1,2,21.5,41,15,30.0,49,0,0.0,0,0,0.0,0,0,0.0,0,115,115.0,5061,820,1265.25,1752,0,12,13.0,14,9,9.5,10,68,78.5,90,45,52.5,61
2019-07-01,4019,2744,1,11,33.2,44,10,19.6,34,0,4.2,21,0,0.0,0,0,4.0,20,115,115.0,6656,762,1331.2,1867,0,10,11.8,13,10,10.2,11,47,72.4,100,30,43.2,63
2019-08-01,4019,2246,0,17,32.75,45,0,20.75,38,0,14.5,42,0,8.0,31,0,10.25,24,115,115.0,5636,975,1409.0,1860,0,9,9.75,10,12,15.75,20,43,43.5,44,29,29.75,30
2019-09-01,4019,2575,0,-18,2.5,21,-24,-11.5,2,-19,-7.0,14,-16,-7.25,1,-23,2.75,23,115,103.5,6066,1188,1516.5,1839,0,9,9.75,10,25,44.75,83,33,36.25,39,30,34.25,39
2019-10-01,4019,2752,1,3,23.8,47,0,23.4,42,0,5.4,27,0,2.0,10,0,9.0,45,115,112.7,6076,748,1215.2,1643,0,10,10.8,12,78,88.4,100,29,31.4,35,42,53.2,68
2019-11-01,4019,2129,0,4,24.5,45,11,28.75,37,0,0.0,0,0,4.0,16,0,1.5,6,115,115.0,5040,793,1260.0,1838,0,12,15.0,19,69,74.5,77,35,38.0,42,73,74.0,75
2019-12-01,4019,2680,1,-15,9.25,24,-6,9.0,25,-23,1.5,17,-4,1.75,11,-23,-3.0,23,115,103.5,4025,673,1006.25,1358,1,37,39.25,43,68,74.5,78,17,20.25,22,77,79.5,83
2020-01-01,4019,3385,1,-23,4.6,25,-7,8.2,22,-22,-5.0,20,-25,-3.4,10,-20,-6.6,1,115,101.2,6633,942,1326.6,1753,1,31,37.4,42,34,48.4,61,16,18.2,20,68,74.0,82
2020-02-01,4019,2048,0,4,15.25,26,3,13.5,29,0,21.0,47,0,9.25,25,0,8.5,27,120,117.0,5793,867,1448.25,1901,0,75,80.25,91,23,40.75,61,41,49.25,53,77,81.25,84
2020-03-01,4019,2168,0,15,32.0,48,0,33.5,46,0,5.75,23,0,5.25,21,0,2.0,8,120,120.0,4996,768,1249.0,1835,0,81,86.25,92,16,21.25,31,59,82.0,98,79,91.0,99
2020-04-01,4019,2764,0,13,27.6,46,13,29.2,46,0,1.8,9,0,2.0,10,0,5.8,29,120,117.6,7035,927,1407.0,1859,0,17,45.8,100,11,12.8,15,35,58.2,100,23,48.8,100
2020-05-01,4019,2253,0,10,25.75,45,5,17.0,29,0,8.25,33,0,9.75,39,0,3.0,12,120,117.0,4316,708,1079.0,1434,0,16,16.25,17,13,14.5,17,36,36.5,37,23,24.25,26
2020-06-01,4019,2760,1,17,28.8,46,1,27.0,46,0,8.6,43,0,1.8,9,0,6.4,32,120,118.8,6340,709,1268.0,1746,0,12,13.8,15,13,13.6,14,41,41.6,43,21,23.2,25
2020-07-01,4019,2197,1,3,32.75,47,5,22.0,43,0,0.0,0,0,0.0,0,0,0.0,0,120,117.0,4938,846,1234.5,1577,0,12,12.75,13,14,14.5,15,51,53.75,56,22,24.5,27
2020-08-01,4019,2267,0,13,30.25,41,14,28.25,47,0,0.0,0,0,0.0,0,0,0.0,0,120,118.5,5102,664,1275.5,1800,0,13,13.0,13,16,18.25,20,54,69.5,86,25,32.0,41
2020-09-01,4019,3213,0,-22,-1.6,22,-21,3.4,15,-20,0.2,24,-23,-4.6,6,-23,-1.4,18,120,108.0,5082,752,1016.4,1406,0,13,14.0,15,21,30.0,44,56,58.8,64,42,47.4,54
2020-10-01,4019,2217,1,5,16.25,25,11,29.5,43,0,1.5,6,0,2.25,9,0,5.75,23,120,120.0,5344,960,1336.0,1694,0,13,14.0,15,73,78.25,83,52,54.25,57,41,42.25,43
2020-11-01,4019,2174,0,12,26.5,44,2,7.5,21,0,10.25,41,0,5.25,21,0,6.75,27,120,120.0,5552,788,1388.0,1879,0,13,13.5,14,85,87.75,91,53,57.5,62,34,36.5,40
2020-12-01,4019,3257,1,-8,-1.6,7,-25,-7.6,24,-19,-2.8,17,-19,-7.8,12,-17,-2.8,18,120,104.91428571428571,5422,756,1084.4,1487,0,11,30.0,55,73,83.0,100,28,31.0,33,28,36.2,39
2018-01-01,6001,99,1,-25,-25.0,-25,6,6.0,6,11,11.0,11,-14,-14.0,-14,-17,-17.0,-17,105,90.0,201,201,201.0,201,0,45,45.0,45,51,51.0,51,20,20.0,20,97,97.0,97
2018-02-01,6001,475,0,1,12.25,22,1,16.25,28,0,9.25,23,0,24.0,48,0,8.5,28,110,110.0,1405,257,351.25,441,0,46,47.0,48,13,19.25,31,23,26.75,31,29,30.0,31
2018-03-01,6001,502,0,3,25.75,49,2,21.5,32,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,1250,201,312.5,428,0,47,52.75,60,9,11.25,17,32,44.75,55,33,61.25,100
2018-04-01,6001,516,0,1,21.25,48,4,13.75,20,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,1018,168,254.5,340,0,49,75.25,100,8,8.75,9,56,62.75,77,25,30.5,35
2018-05-01,6001,669,0,0,25.2,48,13,27.8,48,0,19.2,48,0,23.4,48,0,23.2,36,110,110.0,1769,246,353.8,450,0,13,18.2,37,9,9.8,11,71,73.8,78,21,27.4,37
2018-06-01,6001,518,1,2,14.75,30,2,21.0,40,0,1.5,6,0,12.5,39,0,8.0,26,110,108.625,1079,180,269.75,350,0,12,13.25,15,9,9.0,9,75,81.75,89,19,20.25,22
2018-07-01,6001,529,0,4,13.75,20,5,17.0,47,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,1411,265,352.75,437,0,10,11.75,14,10,11.0,12,69,84.5,100,12,15.0,24
2018-08-01,6001,653,1,8,24.2,49,6,22.6,42,0,7.4,20,0,8.2,25,0,12.0,35,110,110.0,1403,187,280.6,386,0,10,10.6,11,12,15.2,21,46,47.6,49,10,11.2,12
2018-09-01,6001,598,0,-25,-2.25,16,-22,5.25,25,-14,-7.0,4,-23,-10.75,6,-25,-8.25,12,110,99.0,1344,258,336.0,410,0,9,9.5,10,25,44.5,80,36,39.75,41,12,12.75,14
